id,code,name,description,is+AF8-percentile,created+AF8-by,updated+AF8-by
1,mean,Mean,Mean value,false,1,
2,median,Median,Median value,false,1,
3,min,Minimum,Minimum value,false,1,
4,max,Maximum,Maximum value,false,1,
5,p10,10th percentile,10th percentile value,true,1,
6,p30,30th percentile,30th percentile value,true,1,
7,p70,70th percentile,70th percentile value,true,1,
8,p90,90th percentile,90th percentile value,true,1,
9,p90,90th percentile,90th percentile value,true,1,
10,p100,100th percentile,100th percentile value,true,1,
11,other,Other,Other custom statistic,false,1,
